id,type,size,color,age,kinds,disease,personality,sex,image_urls
99,犬,大型,黒,10,柴犬,乾燥性角膜炎・皮膚炎,イヌにもヒトにも優しい仔です。 乾燥性角膜炎を患っており、点眼しております。 皮膚の状態も悪い為、週2回のシャンプー。 よく食べ、よく歩き、元気いっぱいです。,オス,"/media/pet_images/IMG_2455-458x344.jpg, /media/pet_images/IMG_2457-150x150.jpg, /media/pet_images/uuid_9c885b16a4d5479892a94b8d702b8577.jpg"
100,犬,中型,茶,10,柴犬,,穏やかで優しい,メス,"/media/pet_images/uuid_3cccf00243884a5e860dcdd466d1ae60.jpg, /media/pet_images/uuid_47758a84b79c44e79672518314b33489.jpg, /media/pet_images/uuid_f9adbc6f6a0149c4bf3478ecf8225d17.jpg"
101,犬,中型,茶,8,柴犬,,マイペースで穏やかな一方、頑固な性格。,オス,"/media/pet_images/uuid_155bf39864234d5ba2c3d9db094e9b8d.jpg, /media/pet_images/uuid_2282b2f54bc849428108063175ccabde.jpg"
102,犬,中型,黒,9,雑種,,マイペースで穏やかです。,メス,"/media/pet_images/uuid_0165812ff397418ca55477bfa260a9e4.jpg, /media/pet_images/uuid_ff88fa95498a43cf8882ae49bc9bbde9.jpg"
103,犬,小型,茶・白,5,チワワ,膵炎,怖がり神経質,メス,"/media/pet_images/uuid_69f76af238344846b82b414dee73e1f2.jpg, /media/pet_images/uuid_3600354a874b4b2f8399db1778fdf8c2.jpg"
104,犬,小型,茶,4,トイプードル,,優しい,オス,"/media/pet_images/uuid_b411ea97f13d4510833006aadd3d847c.jpg, /media/pet_images/uuid_c766e58aa83745769fa892dc4da07903.jpg, /media/pet_images/uuid_67b3803964534bc990f46506792d04a4.jpg"
105,犬,小型,白,3,ポメラニアン,,元気いっぱい,メス,"/media/pet_images/uuid_45f622935bd240a293140ec1e8706bb5.jpg, /media/pet_images/uuid_a8c9f4e51327466991793146d68f73b2.jpg"
106,犬,大型,茶,6,雑種,,シャイで人見知りです。すごく優しい。,オス,"/media/pet_images/uuid_bef59e51cd89450bb99d3d2d343c8e8f.jpg, /media/pet_images/uuid_6b4c7eaaeb5a4aac807874d065ea6172.jpg, /media/pet_images/uuid_438de9a74f87421c81ac60acfdb3de10.jpg, /media/pet_images/uuid_079252279a2141bda2638e32da0f44a0.jpg, /media/pet_images/uuid_458f12209fcf441ba41765bf7fd5a4da.jpg"
107,猫,小型,茶トラ,5,雑種,左前肢断脚手術,甘えん坊,オス,"/media/pet_images/uuid_3eeddbdca39f48e8babf1bbbcd5767dd.jpeg, /media/pet_images/uuid_87be069a5e184af7aad5050113bedbc8.jpeg, /media/pet_images/uuid_d131e7b07c06468794d0fb1b27e735d9.jpeg, /media/pet_images/uuid_2be549fee9374943be5b7e8d7198908c.jpeg"
108,猫,小型,グレー,8,雑種,,おっとり,メス,"/media/pet_images/uuid_b46ff30fb7da4c689ae0251d2c848c83.jpeg, /media/pet_images/uuid_35e6dcb10c3e48189b70085af305e335.jpeg, /media/pet_images/uuid_226abd6453c74c92820fd2ee2d69f59f.jpeg"
109,猫,中型,フジ柄,4,雑種,,とても甘えん坊,メス,"/media/pet_images/uuid_bd04850a83674046b24dfa1381d1a074.jpeg, /media/pet_images/uuid_1e3a0e33d4c242ffae3aae46efc53010.jpeg, /media/pet_images/uuid_4af9efc824484efeb75154c8dfad2eb8.jpeg, /media/pet_images/uuid_ddf2ce09fa7e44d9b5af1429fd197fd4.jpeg"
110,猫,小型,サビ柄,1,雑種,,優しい,メス,"/media/pet_images/uuid_07719c69b46d4975ac77790d5c88ca6b.jpeg, /media/pet_images/uuid_06bb616f0ca44173b5c6536906673e4e.jpeg, /media/pet_images/uuid_6feea532cb444d8282b59d0b72c40b75.jpg"
111,猫,小型,シャム柄,1,雑種,,マイペースでおっとり,オス,"/media/pet_images/uuid_0aa160b3bd694b2ca8e104fb42e4a38b.jpeg, /media/pet_images/uuid_95ba788fda73434ea960275766a24888.jpeg, /media/pet_images/uuid_c2b8235f72f5454f8cf52f6e22c0d333.jpg"
112,猫,中型,黒,6,雑種,,おっとりした性格でマイペース,オス,"/media/pet_images/uuid_19dec1a327bb4968aed0138d4540e8a5.jpeg, /media/pet_images/uuid_e9f177a631314329a3aedc6b9130b8fb.jpeg, /media/pet_images/uuid_52e3fe5b252946e093f8519f9a84dea3.jpeg"
